City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Rain,Snow,Date
0,Qaanaaq,77.48,-69.36,-14.51,58,0,5.61,GL,clear sky,0.0,0.0,2020-02-20 22:46:30
1,Hobart,-42.88,147.33,61.0,44,40,13.87,AU,light rain,0.25,0.0,2020-02-20 22:46:30
2,Albany,42.6,-73.97,26.6,38,1,16.11,US,clear sky,0.0,0.0,2020-02-20 22:45:03
3,Port Alfred,-33.59,26.89,68.0,92,59,6.04,ZA,broken clouds,0.0,0.0,2020-02-20 22:46:31
4,Najran,17.49,44.13,73.4,35,53,4.7,SA,broken clouds,0.0,0.0,2020-02-20 22:46:32
5,New Norfolk,-42.78,147.06,61.0,44,40,13.87,AU,scattered clouds,0.38,0.0,2020-02-20 22:46:32
6,Lebu,-37.62,-73.65,60.78,64,0,5.64,CL,clear sky,0.0,0.0,2020-02-20 22:46:33
7,Vaini,-21.2,-175.2,82.4,69,20,11.41,TO,few clouds,0.0,0.0,2020-02-20 22:46:33
8,Westport,41.14,-73.36,36.0,31,1,9.17,US,clear sky,0.0,0.0,2020-02-20 22:46:28
9,Mogadishu,2.04,45.34,81.36,83,87,16.67,SO,overcast clouds,0.0,0.0,2020-02-20 22:46:34
10,Meridian,43.61,-116.39,46.0,33,1,6.93,US,clear sky,0.0,0.0,2020-02-20 22:43:12
11,Rikitea,-23.12,-134.97,78.98,74,43,10.71,PF,light rain,0.5,0.0,2020-02-20 22:46:36
12,Bengkulu,-3.8,102.27,73.38,87,67,4.45,ID,broken clouds,0.0,0.0,2020-02-20 22:46:36
13,Solnechnyy,50.72,136.63,5.56,85,17,2.33,RU,few clouds,0.0,0.0,2020-02-20 22:46:30
14,Saint-Jean-Port-Joli,47.22,-70.27,-2.0,51,55,1.99,CA,broken clouds,0.0,0.0,2020-02-20 22:46:37
15,Atuona,-9.8,-139.03,81.75,74,41,17.36,PF,scattered clouds,0.0,0.0,2020-02-20 22:46:38
16,Bud,39.45,-86.18,30.2,53,75,12.75,US,broken clouds,0.0,0.0,2020-02-20 22:46:38
17,Tuatapere,-46.13,167.68,61.25,92,88,2.19,NZ,light rain,0.69,0.0,2020-02-20 22:46:39
18,Cabo San Lucas,22.89,-109.91,82.99,39,5,8.05,MX,clear sky,0.0,0.0,2020-02-20 22:42:36
19,Cherskiy,68.75,161.3,-13.83,96,100,7.83,RU,overcast clouds,0.0,0.0,2020-02-20 22:46:40
20,Kuruman,-27.45,23.43,68.0,82,50,3.0,ZA,scattered clouds,0.0,0.0,2020-02-20 22:46:40
21,Teguise,29.06,-13.56,64.4,77,20,14.99,ES,few clouds,0.0,0.0,2020-02-20 22:46:41
22,Lavrentiya,65.58,-171.0,-11.52,82,0,9.1,RU,clear sky,0.0,0.0,2020-02-20 22:46:41
23,Busselton,-33.65,115.33,69.01,35,85,15.14,AU,overcast clouds,0.0,0.0,2020-02-20 22:43:53
24,Yellowknife,62.46,-114.35,33.01,81,20,14.99,CA,few clouds,0.0,0.0,2020-02-20 22:44:27
25,Upernavik,72.79,-56.15,-13.94,99,100,3.13,GL,overcast clouds,0.0,0.0,2020-02-20 22:44:25
26,Bluff,-46.6,168.33,59.45,80,55,17.56,NZ,light rain,0.13,0.0,2020-02-20 22:46:43
27,Ribeira Grande,38.52,-28.7,52.59,70,67,8.61,PT,broken clouds,0.0,0.0,2020-02-20 22:46:44
28,Belmonte,-15.86,-38.88,80.6,83,40,11.41,BR,scattered clouds,0.0,0.0,2020-02-20 22:46:44
29,Ballina,-28.87,153.57,77.0,83,79,6.93,AU,light rain,1.94,0.0,2020-02-20 22:46:45
30,Bredasdorp,-34.53,20.04,62.01,87,13,3.36,ZA,few clouds,0.0,0.0,2020-02-20 22:46:45
31,Pevek,69.7,170.31,-8.27,96,100,9.75,RU,light snow,0.0,0.31,2020-02-20 22:46:46
32,Ushuaia,-54.8,-68.3,53.6,58,75,11.41,AR,broken clouds,0.25,0.0,2020-02-20 22:42:39
33,Bahile,10.0,118.79,78.8,74,75,18.34,PH,broken clouds,0.0,0.0,2020-02-20 22:46:47
34,Novo Aripuana,-5.12,-60.38,76.1,97,100,1.16,BR,light rain,1.44,0.0,2020-02-20 22:46:47
35,Doka,13.52,35.77,68.95,44,14,9.91,SD,few clouds,0.0,0.0,2020-02-20 22:46:47
36,Punta Arenas,-53.15,-70.92,59.0,51,45,13.87,CL,scattered clouds,0.0,0.0,2020-02-20 22:46:48
37,Praia,14.92,-23.51,67.19,87,24,13.04,CV,few clouds,0.0,0.0,2020-02-20 22:46:49
38,Mataura,-46.19,168.86,72.39,63,82,7.65,NZ,light rain,0.31,0.0,2020-02-20 22:46:49
39,Mar Del Plata,-38.0,-57.56,59.0,72,40,17.22,AR,shower rain,0.5,0.0,2020-02-20 22:45:11
40,Butaritari,3.07,172.79,83.82,78,100,12.59,KI,overcast clouds,0.0,0.0,2020-02-20 22:46:50
41,Kapaa,22.08,-159.32,78.8,69,75,20.8,US,broken clouds,0.0,0.0,2020-02-20 22:46:43
42,Katobu,-4.94,122.53,76.5,92,100,1.12,ID,light rain,0.19,0.0,2020-02-20 22:46:51
43,Vyritsa,59.41,30.35,33.8,95,75,4.47,RU,broken clouds,0.0,0.0,2020-02-20 22:46:52
44,Cape Town,-33.93,18.42,66.99,77,0,16.11,ZA,clear sky,0.0,0.0,2020-02-20 22:46:52
45,Tiksi,71.69,128.87,-1.43,86,100,11.63,RU,overcast clouds,0.0,0.0,2020-02-20 22:46:53
46,East London,-33.02,27.91,74.21,78,57,8.3,ZA,broken clouds,0.0,0.0,2020-02-20 22:46:53
47,Bima,-8.47,118.72,77.32,88,99,0.56,ID,overcast clouds,0.0,0.0,2020-02-20 22:46:54
48,Coquimbo,-29.95,-71.34,64.4,77,75,10.29,CL,broken clouds,0.0,0.0,2020-02-20 22:46:55
49,Gizo,-8.1,156.84,81.09,78,49,6.04,SB,light rain,1.81,0.0,2020-02-20 22:46:55
50,Barrow,71.29,-156.79,-7.6,76,90,9.17,US,overcast clouds,0.0,0.0,2020-02-20 22:46:56
51,Katsuura,35.13,140.3,48.99,65,40,9.17,JP,scattered clouds,0.0,0.0,2020-02-20 22:46:56
52,Mahebourg,-20.41,57.7,78.8,74,40,10.29,MU,scattered clouds,0.0,0.0,2020-02-20 22:46:58
53,Haines Junction,60.75,-137.51,22.68,94,94,6.85,CA,light snow,0.0,1.06,2020-02-20 22:46:58
54,Esperance,-33.87,121.9,55.4,87,0,6.93,AU,clear sky,0.0,0.0,2020-02-20 22:46:59
55,Saint-Philippe,-21.36,55.77,77.0,69,20,3.36,RE,few clouds,0.63,0.0,2020-02-20 22:43:16
56,Onega,63.91,38.14,20.86,92,61,9.64,RU,broken clouds,0.0,0.0,2020-02-20 22:47:00
57,Carnarvon,-24.87,113.63,78.8,74,40,9.17,AU,scattered clouds,0.81,0.0,2020-02-20 22:47:01
58,Avarua,-21.21,-159.78,82.4,83,100,6.93,CK,overcast clouds,0.0,0.0,2020-02-20 22:47:01
59,Amahai,-3.33,128.92,83.16,71,98,13.94,ID,overcast clouds,0.0,0.0,2020-02-20 22:47:02
60,Foz Do Iguacu,-25.55,-54.59,87.8,51,0,6.93,BR,clear sky,0.0,0.0,2020-02-20 22:47:02
61,Itarema,-2.92,-39.92,76.08,93,100,3.29,BR,light rain,0.25,0.0,2020-02-20 22:47:03
62,Sao Joao Da Barra,-21.64,-41.05,80.6,74,10,13.87,BR,clear sky,0.0,0.0,2020-02-20 22:44:23
63,Iqaluit,63.75,-68.51,-32.01,59,20,14.99,CA,few clouds,0.0,0.0,2020-02-20 22:47:04
64,Namibe,-15.2,12.15,75.47,73,70,16.11,AO,broken clouds,0.0,0.0,2020-02-20 22:47:05
65,Cornwall,45.02,-74.73,15.8,43,1,8.05,CA,clear sky,0.0,0.0,2020-02-20 22:43:26
66,Kruisfontein,-34.0,24.73,61.59,96,37,1.95,ZA,scattered clouds,0.0,0.0,2020-02-20 22:47:06
67,Hambantota,6.12,81.12,77.0,100,20,10.29,LK,few clouds,0.0,0.0,2020-02-20 22:47:07
68,Pacific Grove,36.62,-121.92,72.0,36,1,4.7,US,clear sky,0.0,0.0,2020-02-20 22:47:07
69,Airai,-8.93,125.41,73.26,80,87,1.36,TL,light rain,0.12,0.0,2020-02-20 22:47:08
70,Nioro,13.35,-15.75,77.07,13,58,3.4,GM,broken clouds,0.0,0.0,2020-02-20 22:47:08
