City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2020-02-19 19:02:59,19.73,-155.09,73.99,83,90,3.36
1,Vao,NC,2020-02-19 19:03:08,-22.67,167.48,78.03,78,0,12.21
2,Eureka,US,2020-02-19 19:03:08,40.8,-124.16,53.01,66,1,1.63
3,Kavaratti,IN,2020-02-19 19:03:08,10.57,72.64,81.9,63,0,3.6
4,Mataura,NZ,2020-02-19 19:03:08,-46.19,168.86,50.0,93,96,1.01
5,Sioux Lookout,CA,2020-02-19 19:03:08,50.1,-91.92,-2.2,53,40,8.05
6,Iqaluit,CA,2020-02-19 19:03:09,63.75,-68.51,-25.01,60,40,4.7
7,Ponta Delgada,PT,2020-02-19 19:03:09,37.73,-25.67,60.8,100,75,11.41
8,Rikitea,PF,2020-02-19 19:03:09,-23.12,-134.97,78.8,79,5,15.1
9,Dongying,CN,2020-02-19 19:03:09,37.46,118.49,41.5,58,0,4.25
10,Arraial Do Cabo,BR,2020-02-19 19:00:05,-22.97,-42.03,89.6,58,81,14.99
11,Yar-Sale,RU,2020-02-19 19:03:10,66.83,70.83,26.13,94,100,6.93
12,Mahebourg,MU,2020-02-19 19:03:10,-20.41,57.7,78.8,78,40,11.41
13,Saint George,US,2020-02-19 18:59:15,37.1,-113.58,50.0,27,1,3.36
14,Khatanga,RU,2020-02-19 19:03:10,71.97,102.5,-12.78,88,0,2.46
15,Pemangkat,ID,2020-02-19 19:03:11,1.17,108.97,76.87,88,73,11.32
16,Jamestown,US,2020-02-19 19:03:11,42.1,-79.24,30.2,68,90,16.11
17,Ca Mau,VN,2020-02-19 19:00:05,9.18,105.15,74.97,82,0,7.58
18,Yulara,AU,2020-02-19 19:03:11,-25.24,130.99,77.0,19,62,10.29
19,Bluff,NZ,2020-02-19 19:00:18,-46.6,168.33,50.0,93,66,1.01
20,Nyurba,RU,2020-02-19 19:03:12,63.28,118.33,3.29,95,89,7.05
21,Port Elizabeth,ZA,2020-02-19 19:03:12,-33.92,25.57,69.8,83,16,12.75
22,Albany,US,2020-02-19 18:59:30,42.6,-73.97,37.99,36,75,12.75
23,Kapaa,US,2020-02-19 19:03:12,22.08,-159.32,73.4,64,20,23.04
24,Saint-Philippe,RE,2020-02-19 19:03:12,-21.36,55.77,77.0,69,14,13.87
25,Punta Arenas,CL,2020-02-19 19:02:29,-53.15,-70.92,55.4,47,40,32.21
26,Chokurdakh,RU,2020-02-19 19:03:13,70.63,147.92,-12.62,94,88,7.09
27,Fukue,JP,2020-02-19 19:00:51,32.69,128.84,46.4,61,98,6.93
28,Caravelas,BR,2020-02-19 19:03:13,-17.71,-39.25,81.99,75,67,11.12
29,Severo-Kurilsk,RU,2020-02-19 19:03:13,50.68,156.12,13.37,88,51,9.62
30,Petropavlovsk-Kamchatskiy,RU,2020-02-19 19:03:14,53.05,158.65,5.0,54,0,11.18
31,Nanortalik,GL,2020-02-19 19:03:14,60.14,-45.24,22.68,70,0,33.08
32,Utete,TZ,2020-02-19 19:03:14,-7.99,38.76,77.11,93,53,2.98
33,New Norfolk,AU,2020-02-19 19:03:14,-42.78,147.06,55.4,71,90,9.17
34,Geraldton,AU,2020-02-19 19:03:14,-28.77,114.6,78.8,57,40,10.29
35,Puerto Ayora,EC,2020-02-19 19:03:15,-0.74,-90.35,86.0,70,40,19.46
36,Malakal,SS,2020-02-19 19:03:15,9.53,31.66,88.39,13,0,8.1
37,Ushuaia,AR,2020-02-19 19:00:47,-54.8,-68.3,50.0,87,75,29.97
38,Usvyaty,RU,2020-02-19 19:03:15,55.75,30.75,35.83,80,77,7.31
39,Saint-Pierre,RE,2020-02-19 19:03:15,-21.34,55.48,77.0,69,0,13.87
40,Barrow,US,2020-02-19 19:03:16,71.29,-156.79,-7.6,83,75,6.93
41,Cidreira,BR,2020-02-19 19:03:16,-30.18,-50.21,74.97,73,18,9.82
42,Mar Del Plata,AR,2020-02-19 19:02:17,-38.0,-57.56,80.6,42,20,21.92
43,Muravlenko,RU,2020-02-19 19:03:16,63.79,74.52,30.04,95,100,16.08
44,Bredasdorp,ZA,2020-02-19 19:03:16,-34.53,20.04,71.01,73,0,4.7
45,Dandong,CN,2020-02-19 19:03:17,40.13,124.39,27.57,80,0,4.38
46,Asilah,MA,2020-02-19 19:03:17,35.47,-6.03,60.8,72,40,28.86
47,Tasiilaq,GL,2020-02-19 19:03:17,65.61,-37.64,23.0,67,75,11.41
48,Shiojiri,JP,2020-02-19 19:03:17,36.1,137.97,32.0,84,62,1.23
49,Beeville,US,2020-02-19 19:03:17,28.4,-97.75,63.0,100,90,5.82
50,Pozoblanco,ES,2020-02-19 19:03:18,38.38,-4.85,62.6,63,0,4.7
51,Leningradskiy,RU,2020-02-19 19:03:18,69.38,178.42,-10.8,87,100,18.3
52,Najran,SA,2020-02-19 19:03:18,17.49,44.13,78.8,16,0,4.76
53,Vaini,TO,2020-02-19 19:03:18,-21.2,-175.2,77.0,73,75,6.93
54,Yelizovo,RU,2020-02-19 19:03:18,53.19,158.38,5.0,54,0,11.18
55,Tianpeng,CN,2020-02-19 19:03:19,30.99,103.94,53.01,66,40,3.94
56,Kavieng,PG,2020-02-19 19:03:19,-2.57,150.8,81.59,76,93,14.47
57,Hobart,AU,2020-02-19 19:00:18,-42.88,147.33,55.4,71,90,9.17
58,Manado,ID,2020-02-19 19:02:53,1.49,124.85,75.2,94,40,1.12
59,East London,ZA,2020-02-19 19:03:20,-33.02,27.91,71.6,88,20,14.99
60,Pevek,RU,2020-02-19 19:03:20,69.7,170.31,-21.59,99,100,6.42
61,Scalea,IT,2020-02-19 19:03:20,39.81,15.8,53.01,99,100,8.72
62,Qaanaaq,GL,2020-02-19 19:03:20,77.48,-69.36,-12.23,57,0,7.74
63,Alekseyevsk,RU,2020-02-19 19:03:20,57.84,108.35,4.15,94,100,3.69
64,Mont-De-Marsan,FR,2020-02-19 19:03:21,44.0,-0.67,50.0,81,71,2.24
65,Cape Town,ZA,2020-02-19 19:00:04,-33.93,18.42,71.01,88,75,12.75
66,Santa Barbara De Nexe,PT,2020-02-19 19:03:21,37.11,-7.97,62.01,77,20,5.82
67,Hauterive,FR,2020-02-19 19:03:22,46.09,3.45,48.2,70,90,3.36
68,Beringovskiy,RU,2020-02-19 19:03:22,63.05,179.32,-13.99,89,33,18.23
69,Busselton,AU,2020-02-19 19:03:22,-33.65,115.33,68.0,40,7,17.13
70,Coquimbo,CL,2020-02-19 19:03:22,-29.95,-71.34,66.2,68,40,11.41
71,Brae,GB,2020-02-19 19:03:22,60.4,-1.35,42.8,80,67,20.8
72,Bethel,US,2020-02-19 19:00:55,41.37,-73.41,48.2,33,1,16.11
73,Castro,BR,2020-02-19 19:03:23,-24.79,-50.01,88.02,43,49,4.32
74,Port Alfred,ZA,2020-02-19 19:00:52,-33.59,26.89,74.01,81,0,25.66
75,Klaksvik,FO,2020-02-19 19:03:23,62.23,-6.59,39.2,93,90,34.45
76,Kodiak,US,2020-02-19 19:03:24,57.79,-152.41,26.6,68,1,11.83
77,Bilibino,RU,2020-02-19 19:03:24,68.05,166.44,-31.0,99,32,1.3
78,Bulungu,CD,2020-02-19 19:03:24,-4.55,18.6,74.21,94,100,2.93
79,Borogontsy,RU,2020-02-19 19:03:24,62.67,131.17,-25.28,98,8,2.98
80,Lagoa,PT,2020-02-19 19:03:24,39.05,-27.98,58.71,78,44,28.36
81,Shingu,JP,2020-02-19 19:03:25,33.73,135.98,45.77,67,66,5.39
82,Coahuayana,MX,2020-02-19 19:03:25,18.73,-103.68,82.4,51,5,4.97
83,Saint Anthony,US,2020-02-19 19:03:25,45.02,-93.22,10.99,46,1,5.82
84,Bambous Virieux,MU,2020-02-19 19:03:25,-20.34,57.76,78.8,78,40,11.41
85,Garowe,SO,2020-02-19 19:03:26,8.41,48.48,73.94,70,0,19.62
86,Aldan,RU,2020-02-19 19:03:26,58.6,125.39,-10.39,94,100,5.68
87,Talnakh,RU,2020-02-19 19:03:26,69.49,88.4,12.2,92,75,33.55
88,Longyearbyen,SJ,2020-02-19 19:03:26,78.22,15.64,6.8,65,75,26.4
89,Hermanus,ZA,2020-02-19 19:03:26,-34.42,19.23,71.01,84,0,4.0
90,Khorixas,NA,2020-02-19 19:03:27,-20.37,14.97,78.49,35,82,17.02
91,Bay Roberts,CA,2020-02-19 19:03:27,47.6,-53.26,41.0,93,90,48.32
92,Matam,SN,2020-02-19 19:03:27,15.62,-13.33,104.0,15,3,2.24
